,label,text
0,1.0,"Thấm nhanh, thơm, còn lại thì phải chờ thời gian đánh giá thôi"
1,1.0,"Mua tặng bx. Gọn nhẹ, màn oled đẹp, cam đỉnh. Khá hài lòng với Samsung và TGDD.."
2,1.0,Ốp đẹp lắmmmmmmmmmmmmmmmm ạ.................
3,1.0,"Mình mua ốp trong suốt này của shop mấy lần rồi, ốp dẻo, phù hợp với giá tiền. Lần nào mua hàng của shop cũng ưng ý và hài lòng hết ạ 🥰"
4,-1.0,Đóng gói sản phẩm rất tệ lọ bị chảy ra nhiều.Hi vọng shop sẽ khắc phục hơn
5,0.0,"không đòi hỏi cao, khá cầu kì, tạm"
6,1.0,"Tuyệt vời, máy mướt mườn mượt, sạc nhanh 100% trong vòng tối đa 1 tiếng 20'Mà đựu giảm 1 triệu 7 trong vòng 2 tuần, vừa mua 14.990.000 VND tuần sau giảm 1.000.000 VND, tuần sau nữa giảm thêm 700.000 VND còn 13.290.000 VND.. Nó đau ta nói.."
7,1.0,"Sản phẩm khá tốt trong tầm, màn hình ổn với những người không khó tính như mình, pin dùng tốt 1 ngày, nếu dùng nhiều có thể cần sạc dự phòng hoặc sạc đt thêm 1 lần nữa. Chip ổn định không quá nóng khi chơi game hay tác vụ cơ bản đều đáp ứng tốt. Nhược điểm mình thấy duy nhất theo cảm nhận chính là nút điều hướng không thể chỉnh cho phím quay lại nằm ở bên phải nút home làm mình thấy hơi khó chịu ( có thể là do chưa quen . 8/10 nếu bạn có hầu bao không quá dư giả, cần tìm 1 chiếc điện thoại đáp ứng nhu cầu cơ bản thậm chí chơi game nặng thì nên cân nhắc sản phẩm này."
8,1.0,Máy rất ok. Màn hình super amoled rất đẹp. Chip snap 730 khá tốt thêm quả ram 8gb nữa. 
9,1.0,"Chất lượng sản phẩm tuyệt vời, ốp dùng tiện ích và dung đc tuy nhiên cái miếng giá đỡ chống lưng cho phụ kiện lỏng lẻo lắm a"
